"model","block","year_month","cross_sec_sd","cross_sec_sd_w","fragmentation_index"
"factor_midas","Expenditures","2013-01",4.28536556234082,2.37313356101167,120.658771752778
"factor_midas","Expenditures","2013-02",2.89411785428365,1.16138336790193,120.658771752778
"factor_midas","Expenditures","2013-03",0.773642858026061,0.472173760640283,120.658771752778
"factor_midas","Expenditures","2013-04",1.20324351486451,0.888240280855457,120.658771752778
"factor_midas","Expenditures","2013-05",2.05130043390797,1.3085599934809,120.658771752778
"factor_midas","Expenditures","2013-06",0.761975031615711,0.51705071833566,120.658771752778
"factor_midas","Expenditures","2013-07",0.0987980369484241,0.0829319660383148,120.658771752778
"factor_midas","Expenditures","2013-08",0.596713329724525,0.500321176760584,120.658771752778
"factor_midas","Expenditures","2013-09",0.120002186589514,0.111940901981892,120.658771752778
"factor_midas","Expenditures","2013-10",0.338624657050986,0.261585438182027,120.658771752778
"factor_midas","Expenditures","2013-11",1.79417524974546,1.61807727194706,120.658771752778
"factor_midas","Expenditures","2013-12",0.108993502247414,0.0875915125163682,120.658771752778
"factor_midas","Expenditures","2014-01",0.178186137435409,0.121040567202715,120.658771752778
"factor_midas","Expenditures","2014-02",2.03351723326045,1.45848094288325,120.658771752778
"factor_midas","Expenditures","2014-03",0.289045232727084,0.221437397013114,120.658771752778
"factor_midas","Expenditures","2014-04",0.681946316349098,0.662619532943006,120.658771752778
"factor_midas","Expenditures","2014-05",0.387513159785339,0.326209155184677,120.658771752778
"factor_midas","Expenditures","2014-06",0.52538977387814,0.500611827624704,120.658771752778
"factor_midas","Expenditures","2014-07",0.344548713277301,0.31323549453461,120.658771752778
"factor_midas","Expenditures","2014-08",0.803465329382421,0.606362896070918,120.658771752778
"factor_midas","Expenditures","2014-09",0.13769836643905,0.0932372723113245,120.658771752778
"factor_midas","Expenditures","2014-10",0.811942873706215,0.774953742989682,120.658771752778
"factor_midas","Expenditures","2014-11",1.01638563787718,0.887338084100746,120.658771752778
"factor_midas","Expenditures","2014-12",0.753738157851955,0.71812410166048,120.658771752778
"factor_midas","Expenditures","2015-01",0.639732269912542,0.626812693822196,120.658771752778
"factor_midas","Expenditures","2015-02",1.38045214813981,1.31964817182164,120.658771752778
"factor_midas","Expenditures","2015-03",0.126625033755377,0.110538099436321,120.658771752778
"factor_midas","Expenditures","2015-04",0.524483557492989,0.431960455840132,120.658771752778
"factor_midas","Expenditures","2015-05",1.08903243312052,0.962468748114749,120.658771752778
"factor_midas","Expenditures","2015-06",0.623610005007477,0.431794467876242,120.658771752778
"factor_midas","Expenditures","2015-07",0.532793012656304,0.523554969718644,120.658771752778
"factor_midas","Expenditures","2015-08",0.69321734584586,0.502399639136912,120.658771752778
"factor_midas","Expenditures","2015-09",0.219844737424156,0.214606821320826,120.658771752778
"factor_midas","Expenditures","2015-10",0.0625165509105099,0.0509953563697716,120.658771752778
"factor_midas","Expenditures","2015-11",1.37028604301861,1.21230486382406,120.658771752778
"factor_midas","Expenditures","2015-12",2.48065118586122,2.3843160203244,120.658771752778
"factor_midas","Expenditures","2016-01",0.231827813435248,0.210890737371079,120.658771752778
"factor_midas","Expenditures","2016-02",0.632778492627524,0.549196738368847,120.658771752778
"factor_midas","Expenditures","2016-03",0.164822669528433,0.161785764793305,120.658771752778
"factor_midas","Expenditures","2016-04",0.101877264478351,0.0850660447933366,120.658771752778
"factor_midas","Expenditures","2016-05",0.350695148458023,0.323906207380304,120.658771752778
"factor_midas","Expenditures","2016-06",0.139356471708626,0.10098871784498,120.658771752778
"factor_midas","Expenditures","2016-07",0.142099342186098,0.130462848289965,120.658771752778
"factor_midas","Expenditures","2016-08",0.373507278205234,0.265860448847113,120.658771752778
"factor_midas","Expenditures","2016-09",0.19147026820705,0.187846482119744,120.658771752778
"factor_midas","Expenditures","2016-10",0.969369039079937,0.935675541261494,120.658771752778
"factor_midas","Expenditures","2016-11",0.255978344056802,0.183499047742429,120.658771752778
"factor_midas","Expenditures","2016-12",0.379419939675671,0.372662384760927,120.658771752778
"factor_midas","Expenditures","2017-01",0.248288677834731,0.23521891875453,120.658771752778
"factor_midas","Expenditures","2017-02",0.375643899995035,0.327680952036034,120.658771752778
"factor_midas","Expenditures","2017-03",0.336413978390897,0.325614575897212,120.658771752778
"factor_midas","Expenditures","2017-04",0.0417457254714589,0.0397654773757954,120.658771752778
"factor_midas","Expenditures","2017-05",0.219087318287957,0.215999172977351,120.658771752778
"factor_midas","Expenditures","2017-06",0.0953857529301274,0.0795115149446746,120.658771752778
"factor_midas","Expenditures","2017-07",0.104329551890163,0.101475389199294,120.658771752778
"factor_midas","Expenditures","2017-08",0.666532469883884,0.463940481233566,120.658771752778
"factor_midas","Expenditures","2017-09",0.392220896698037,0.289371763787317,120.658771752778
"factor_midas","Expenditures","2017-10",0.10832111244127,0.0884236353741002,120.658771752778
"factor_midas","Expenditures","2017-11",0.551829328205749,0.425193721462349,120.658771752778
"factor_midas","Expenditures","2017-12",0.077752947443669,0.0756319934697563,120.658771752778
"factor_midas","Expenditures","2018-01",0.0961374561069421,0.0770056328243156,120.658771752778
"factor_midas","Expenditures","2018-02",0.641762115500995,0.441940432263025,120.658771752778
"factor_midas","Expenditures","2018-03",0.0785078636356204,0.0725166165946101,120.658771752778
"factor_midas","Expenditures","2018-04",0.191024555344219,0.189156019053433,120.658771752778
"factor_midas","Expenditures","2018-05",0.598998293129496,0.501541241376586,120.658771752778
"factor_midas","Expenditures","2018-06",0.118896598787751,0.0930050346999065,120.658771752778
"factor_midas","Expenditures","2018-07",0.124675603476576,0.0887085797880577,120.658771752778
"factor_midas","Expenditures","2018-08",0.480154313167879,0.4444079505466,120.658771752778
"factor_midas","Expenditures","2018-09",0.144151552363717,0.13940141853846,120.658771752778
"factor_midas","Expenditures","2018-10",0.104667117023824,0.0857700853445759,120.658771752778
"factor_midas","Expenditures","2018-11",0.395826284952438,0.277012328306853,120.658771752778
"factor_midas","Expenditures","2018-12",0.103851032450501,0.0790177341870167,120.658771752778
"factor_midas","Expenditures","2019-01",0.203536970255288,0.194193901818492,120.658771752778
"factor_midas","Expenditures","2019-02",0.111057727961515,0.0965787318876737,120.658771752778
"factor_midas","Expenditures","2019-03",0.12631352883397,0.110648412378298,120.658771752778
"factor_midas","Expenditures","2019-04",0.128636697792744,0.119716453960011,120.658771752778
"factor_midas","Expenditures","2019-05",0.0957246031412169,0.0769927772317862,120.658771752778
"factor_midas","Expenditures","2019-06",0.0250099094590082,0.0190011012430493,120.658771752778
"factor_midas","Expenditures","2019-07",0.0945665122438282,0.093627457191273,120.658771752778
"factor_midas","Expenditures","2019-08",0.622273607926731,0.599624445266817,120.658771752778
"factor_midas","Expenditures","2019-09",0.193743356806153,0.179330374991227,120.658771752778
"factor_midas","Expenditures","2019-10",0.076704420390043,0.0626329114936318,120.658771752778
"factor_midas","Expenditures","2019-11",0.267420742818371,0.192536560705988,120.658771752778
"factor_midas","Expenditures","2019-12",0.0654866505768973,0.0600569176555194,120.658771752778
"factor_midas","Expenditures","2020-01",0.106737469414524,0.0977022984023165,120.658771752778
"factor_midas","Expenditures","2020-02",0.71599388606197,0.550480552577853,120.658771752778
"factor_midas","Expenditures","2020-03",0.800097041454745,0.678688029953104,120.658771752778
"factor_midas","Expenditures","2020-04",1.51021915182144,1.05826780616026,120.658771752778
"factor_midas","Expenditures","2020-05",1.25240926579569,0.920249551006909,120.658771752778
"factor_midas","Expenditures","2020-06",1.22208408219951,0.878216606772683,120.658771752778
"factor_midas","Expenditures","2020-07",0.933997536744707,0.713178049265963,120.658771752778
"factor_midas","Expenditures","2020-08",5.16093501181738,4.85036719960295,120.658771752778
"factor_midas","Expenditures","2020-09",1.04059919221664,0.983369417918085,120.658771752778
"factor_midas","Expenditures","2020-10",0.622198826903483,0.534859709909515,120.658771752778
"factor_midas","Expenditures","2020-11",0.942202583560907,0.74148761822646,120.658771752778
"factor_midas","Expenditures","2020-12",0.153030339842138,0.152754356983557,120.658771752778
"factor_midas","Expenditures","2021-01",2.47108941026596,2.41674383675811,120.658771752778
"factor_midas","Expenditures","2021-02",2.79271209523396,2.56411982244166,120.658771752778
"factor_midas","Expenditures","2021-03",0.495118073273225,0.374957510792834,120.658771752778
"factor_midas","Expenditures","2021-04",0.237373856472605,0.172188389936205,120.658771752778
"factor_midas","Expenditures","2021-05",0.549613043039645,0.47345823160094,120.658771752778
"factor_midas","Expenditures","2021-06",0.440146117905084,0.3974313374043,120.658771752778
"factor_midas","Expenditures","2021-07",0.346358278375908,0.342987935193243,120.658771752778
"factor_midas","Expenditures","2021-08",0.539208358686792,0.383767445798131,120.658771752778
"factor_midas","Expenditures","2021-09",0.281561967207249,0.264997094582805,120.658771752778
"factor_midas","Expenditures","2021-10",0.326847675800135,0.279139970956053,120.658771752778
"factor_midas","Expenditures","2021-11",1.4595371648346,1.03028728788175,120.658771752778
"factor_midas","Expenditures","2021-12",0.290456956965161,0.258210502417038,120.658771752778
"factor_midas","Expenditures","2022-01",2.74427979794764,2.72677651305839,120.658771752778
"factor_midas","Expenditures","2022-02",2.35138552884293,2.28852931785941,120.658771752778
"factor_midas","Expenditures","2022-03",0.507657917636858,0.498871241054569,120.658771752778
"factor_midas","Expenditures","2022-04",1.46052905196667,1.36263351110113,120.658771752778
"factor_midas","Expenditures","2022-05",0.499336899732993,0.366156873039504,120.658771752778
"factor_midas","Expenditures","2022-06",0.677834070953179,0.628600006610206,120.658771752778
"factor_midas","Expenditures","2022-07",1.31008599952589,1.24664149318789,120.658771752778
"factor_midas","Expenditures","2022-08",0.263102663451142,0.254737623300777,120.658771752778
"factor_midas","Expenditures","2022-09",0.731424319357447,0.710877496820743,120.658771752778
"factor_midas","Expenditures","2022-10",0.957315252556744,0.803454273570473,120.658771752778
"factor_midas","Expenditures","2022-11",0.583972138546728,0.472188190356468,120.658771752778
