"country","model","block","year_month","weight","surprise_zscore","contrib_zscore","contrib_index"
"Germany","sg_lasso","Total","2015-01",0.389015803804615,-0.0208335531884244,-0.00810458143970109,-0.134653417304359
"Germany","sg_lasso","Total","2015-02",0.389015803804615,0.573364956206469,0.223048029312057,3.74174918126656
"Germany","sg_lasso","Total","2015-03",0.389015803804615,-0.742164618843805,-0.288713765754868,-4.84043704537833
"Germany","sg_lasso","Total","2015-04",0.389275512877758,0.059237455200983,0.0230596907549359,0.387967829866405
"Germany","sg_lasso","Total","2015-05",0.389275512877758,-0.344949345096689,-0.13428033322936,-2.25060620937272
"Germany","sg_lasso","Total","2015-06",0.389275512877758,0.483918632434928,0.18837767383221,3.16033132213716
"Germany","sg_lasso","Total","2015-07",0.389741866690653,0.0706225676974481,0.0275245713648904,0.462843362279596
"Germany","sg_lasso","Total","2015-08",0.389741866690653,0.0357081333533345,0.0139169545491674,0.234645199112516
"Germany","sg_lasso","Total","2015-09",0.389741866690653,0.0588128130159962,0.0229218155301827,0.3856556782633
"Germany","sg_lasso","Total","2015-10",0.389900427397411,0.103586728230961,0.040388509609951,0.678570121665242
"Germany","sg_lasso","Total","2015-11",0.389900427397411,0.10565381027785,0.0411944657834987,0.692085913657874
"Germany","sg_lasso","Total","2015-12",0.389900427397411,0.070178135807136,0.0273624851451559,0.460125195085514
"Germany","sg_lasso","Total","2016-01",0.391117443315624,0.070751605755131,0.0276721871534218,0.465318862012833
"Germany","sg_lasso","Total","2016-02",0.391117443315624,0.0674327139882476,0.0263741106909171,0.443550269583648
"Germany","sg_lasso","Total","2016-03",0.391117443315624,0.0942487075124938,0.0368623135180886,0.619436220260833
"Germany","sg_lasso","Total","2016-04",0.391426373278095,0.143086677645846,0.0560078992953255,0.940505483621854
"Germany","sg_lasso","Total","2016-05",0.391426373278095,0.0822411148481898,0.0321913413193742,0.54110455569489
"Germany","sg_lasso","Total","2016-06",0.391426373278095,0.0863960901991718,0.033817708252069,0.568378541412051
