"country","model","block","year_month","mensual_surprise","surprise_zscore","climate_index_country"
"France","factor_midas","Expenditures","2013-01",1286.44488703546,0.581245173475262,105.812451734753
"France","factor_midas","Expenditures","2013-06",-253.360096468331,-0.00844409780028469,99.9155590219972
"France","factor_midas","Expenditures","2013-07",-46.2229587522161,0.0708818876995,100.708818876995
"France","factor_midas","Expenditures","2013-08",-816.51879810523,-0.224113385754585,97.7588661424542
"France","factor_midas","Expenditures","2013-09",0,0.0885835987309651,100.88583598731
"France","factor_midas","Expenditures","2013-10",1170.63468401433,0.536894080345008,105.36894080345
"France","factor_midas","Expenditures","2013-11",-2728.36105481544,-0.956279393288787,90.4372060671121
"France","factor_midas","Expenditures","2013-12",24.8549268085144,0.098102131164838,100.981021311648
"France","factor_midas","Expenditures","2014-01",-214.841232633257,0.00630722524945684,100.063072252495
"France","factor_midas","Expenditures","2014-02",-94.4921641567494,0.0523965386682999,100.523965386683
"France","factor_midas","Expenditures","2014-03",240.250246648468,0.180590699881873,101.805906998819
"France","factor_midas","Expenditures","2014-04",-24.5302118777345,0.0791894202983815,100.791894202984
"France","factor_midas","Expenditures","2014-05",-284.246076883386,-0.0202723042801348,99.7972769571986
"France","factor_midas","Expenditures","2014-06",0.773929756463531,0.0888799856624251,100.888799856624
"France","factor_midas","Expenditures","2014-07",63.7535569521051,0.112998890890083,101.129988908901
"France","factor_midas","Expenditures","2014-08",-253.886428044742,-0.00864566363951006,99.9135433636049
"France","factor_midas","Expenditures","2014-09",56.7628035498515,0.110321686748256,101.103216867483
"France","factor_midas","Expenditures","2014-10",254.882605199763,0.186194360698401,101.861943606984
"France","factor_midas","Expenditures","2014-11",-211.674060809814,0.00752013679642493,100.075201367964
"France","factor_midas","Expenditures","2014-12",47.3935566924338,0.106733606172507,101.067336061725
"France","factor_midas","Expenditures","2015-01",-193.27586573567,0.0145659759528681,100.145659759529
"France","factor_midas","Expenditures","2015-02",-4314.49527667722,-1.56371107681702,84.3628892318298
"France","factor_midas","Expenditures","2015-03",215.547537410357,0.171130461237881,101.711304612379
"France","factor_midas","Expenditures","2015-04",1806.06899282002,0.78024229555241,107.802422955524
"France","factor_midas","Expenditures","2015-05",88.6834074902586,0.122546116385743,101.225461163857
"France","factor_midas","Expenditures","2015-06",-482.065239156349,-0.0960298442899378,99.0397015571006
"France","factor_midas","Expenditures","2015-07",-1419.7589589207,-0.455132413908382,95.4486758609162
"France","factor_midas","Expenditures","2015-08",-48.3282514938653,0.0700756371963877,100.700756371964
"France","factor_midas","Expenditures","2015-09",-0.919781834246578,0.088231355761641,100.882313557616
"France","factor_midas","Expenditures","2015-10",-455.724591727964,-0.0859423349277938,99.1405766507221
"France","factor_midas","Expenditures","2015-11",9.54118474041047,0.0922375252586449,100.922375252586
"France","factor_midas","Expenditures","2015-12",1072.08097568994,0.499151596676026,104.99151596676
"France","factor_midas","Expenditures","2016-01",-68.3869216720499,0.062393896503995,100.62393896504
"France","factor_midas","Expenditures","2016-02",635.349333202602,0.33189927137486,103.318992713749
"France","factor_midas","Expenditures","2016-03",-237.78748761923,-0.0024803553377884,99.9751964466221
"France","factor_midas","Expenditures","2016-04",-75.1780980668177,0.059793123092922,100.597931230929
"France","factor_midas","Expenditures","2016-05",-2537.81085551347,-0.883305601560886,91.1669439843911
"France","factor_midas","Expenditures","2016-06",73.6413649001809,0.116785561491802,101.167855614918
"France","factor_midas","Expenditures","2016-07",247.576425042533,0.183396359588598,101.833963595886
"France","factor_midas","Expenditures","2016-08",-1039.4278901533,-0.309479455782113,96.9052054421789
"France","factor_midas","Expenditures","2016-09",70.5900973689832,0.115617037070713,101.156170370707
"France","factor_midas","Expenditures","2016-10",-335.906801624817,-0.0400564817913811,99.5994351820862
"France","factor_midas","Expenditures","2016-11",1811.89926441057,0.782475077393226,107.824750773932
"France","factor_midas","Expenditures","2016-12",-48.1755664914554,0.0701341099957164,100.701341099957
"France","factor_midas","Expenditures","2017-01",-1109.90186589344,-0.336468423763974,96.6353157623603
