"model","block","year_month","cross_sec_sd","cross_sec_sd_w","climate_index","fragmentation_index"
"factor_midas","Expenditures","2013-01",4.2848091636153,2.37284760221302,132.647800431259,120.695924141774
"factor_midas","Expenditures","2013-02",2.90023240322762,1.16383708119327,103.892362018112,113.671478737939
"factor_midas","Expenditures","2013-03",0.775843785430763,0.471820408909284,105.347964783175,104.768464444757
"factor_midas","Expenditures","2013-04",1.20288456951242,0.887991876215055,122.738865081865,111.004012969537
"factor_midas","Expenditures","2013-05",2.05105506752413,1.30907872717157,110.044394790546,114.831108512374
"factor_midas","Expenditures","2013-06",0.791570187599249,0.538477922055786,94.2647810833592,106.071535935475
"factor_midas","Expenditures","2013-07",0.0982733241357758,0.0825177579495622,101.494528701189,87.575510155501
"factor_midas","Expenditures","2013-08",0.598951335895973,0.502203642181087,87.1907736290791,105.38384338772
"factor_midas","Expenditures","2013-09",0.115188874320541,0.108047928212808,100.683575287917,90.2335720876997
"factor_midas","Expenditures","2013-10",0.338587428841867,0.26147798876064,102.598412860377,98.9482074014909
"factor_midas","Expenditures","2013-11",1.79763605200811,1.62090820774237,83.2455255431672,116.937973478827
"factor_midas","Expenditures","2013-12",0.140098536338142,0.112563760948157,101.368761712797,90.6373173128685
"factor_midas","Expenditures","2014-01",0.178583308478153,0.121330154355488,98.6451870340995,91.3768253882366
"factor_midas","Expenditures","2014-02",2.0333470719079,1.45874575726007,107.901682132048,115.898561667253
"factor_midas","Expenditures","2014-03",0.286856387453791,0.219650642086121,103.832904596616,97.2293722423851
"factor_midas","Expenditures","2014-04",0.68222831693372,0.662838672374529,89.3422112940466,108.12044121112
"factor_midas","Expenditures","2014-05",0.387796777049718,0.326517127113833,108.217624687101,101.138585637608
"factor_midas","Expenditures","2014-06",0.525063581421892,0.500218271150747,107.784841592119,105.344783670027
"factor_midas","Expenditures","2014-07",0.344994249704454,0.313565537298061,96.026276290676,100.739483824479
"factor_midas","Expenditures","2014-08",0.804916692525438,0.607394872417683,90.7922966562675,107.259084886908
"factor_midas","Expenditures","2014-09",0.138399063295759,0.0937659749752641,100.969630073672,88.8355935519099
"factor_midas","Expenditures","2014-10",0.811694534269971,0.774702018352106,111.501539440511,109.658184941349
"factor_midas","Expenditures","2014-11",1.0202338168286,0.890519347803251,104.156209402959,111.032039372882
"factor_midas","Expenditures","2014-12",0.75360640892621,0.717984192716067,109.845672139349,108.908467532143
"factor_midas","Expenditures","2015-01",0.640204699365169,0.627216374611049,92.0244945420375,107.575736028415
"factor_midas","Expenditures","2015-02",1.3818114574109,1.32068000919806,95.6003331156212,114.918110725267
"factor_midas","Expenditures","2015-03",0.130693772661035,0.113856992660329,102.271783454979,90.7499598024217
"factor_midas","Expenditures","2015-04",0.524087413878794,0.431524585952241,110.364126098292,103.888161621588
"factor_midas","Expenditures","2015-05",1.08991968681899,0.963150018234957,110.380253195286,111.805160569016
"factor_midas","Expenditures","2015-06",0.624345154482975,0.432354517265832,94.0697738213781,103.907108022348
"factor_midas","Expenditures","2015-07",0.53279738083326,0.523485186993544,102.728515265249,105.793092042949
"factor_midas","Expenditures","2015-08",0.693246000622064,0.502371813266078,98.6927868110453,105.387144848716
"factor_midas","Expenditures","2015-09",0.220002326231525,0.21473046162557,97.343752176725,97.0059810299932
"factor_midas","Expenditures","2015-10",0.0632825482217358,0.051613254314706,98.9881937523631,82.9485280760048
"factor_midas","Expenditures","2015-11",1.37019953433287,1.21210090544599,112.827957155553,114.072145927792
"factor_midas","Expenditures","2015-12",2.4803572898464,2.3840243064967,136.008071765119,120.742261418467
"factor_midas","Expenditures","2016-01",0.23174737943437,0.210715696227013,103.300249912987,96.819872678673
"factor_midas","Expenditures","2016-02",0.634903194226155,0.550829360684966,100.7196984911,106.295162377688
"factor_midas","Expenditures","2016-03",0.167961618751641,0.164355049660877,97.6373479840369,94.3696800708879
"factor_midas","Expenditures","2016-04",0.102650144428241,0.0856634399903425,99.9924983423412,87.9444244112037
"factor_midas","Expenditures","2016-05",0.35084598618228,0.323997327691823,93.5305481364334,101.062193511652
"factor_midas","Expenditures","2016-06",0.139330205706547,0.1008847209893,100.163563032007,89.5571638977219
"factor_midas","Expenditures","2016-07",0.141693715950296,0.130079591112052,103.53526779403,92.0634364797372
"factor_midas","Expenditures","2016-08",0.373475157840843,0.265859146840822,95.7055650771417,99.112057974266
"factor_midas","Expenditures","2016-09",0.191469832659037,0.187897316000792,98.0132987945442,95.6896974003866
"factor_midas","Expenditures","2016-10",0.969687865250106,0.935987554888211,88.0058943605833,111.523075728883
"factor_midas","Expenditures","2016-11",0.256028078811099,0.183259246700215,110.900032302566,95.443241000361
"factor_midas","Expenditures","2016-12",0.379747929620001,0.372977219320175,95.6810364965995,102.450402244232
"factor_midas","Expenditures","2017-01",0.248572373223781,0.23534930472909,99.9303255232077,97.9100806822759
"factor_midas","Expenditures","2017-02",0.375636343347163,0.327675545097104,100.640657795152,101.173507506154
"factor_midas","Expenditures","2017-03",0.341910253317368,0.330456526598087,104.362507708257,101.25684204439
"factor_midas","Expenditures","2017-04",0.0420742109359379,0.040016604214971,100.35001839042,80.4391393287913
"factor_midas","Expenditures","2017-05",0.219087985144681,0.216019455141579,96.2353405511321,97.0649962771701
"factor_midas","Expenditures","2017-06",0.0957089215950137,0.079740712375309,99.6945573790299,87.2379466849172
"factor_midas","Expenditures","2017-07",0.104820248487632,0.101855942446521,99.8087467802812,89.6516391654139
"factor_midas","Expenditures","2017-08",0.6673610037238,0.464563452428047,97.2421445986564,104.615621042149
"factor_midas","Expenditures","2017-09",0.39215195548581,0.289389957778367,100.430178802409,99.9483281841476
"factor_midas","Expenditures","2017-10",0.108145844904573,0.088182733513173,101.299574120488,88.2302370579155
"factor_midas","Expenditures","2017-11",0.55271405105516,0.425812125946977,93.9880036565146,103.756755504622
"factor_midas","Expenditures","2017-12",0.0780738667430443,0.0758801332917139,100.337531505873,86.7486061409548
"factor_midas","Expenditures","2018-01",0.0967470735267095,0.0774679191968668,100.196782767231,86.9528112491566
"factor_midas","Expenditures","2018-02",0.642692960857755,0.442509111816593,105.502602624269,104.136025595872
"factor_midas","Expenditures","2018-03",0.07715521670933,0.0714205365508758,98.8319898699241,86.151349460761
"factor_midas","Expenditures","2018-04",0.191129111927353,0.189258503308216,97.6309124825814,95.7608738575451
"factor_midas","Expenditures","2018-05",0.600413155643755,0.502777569591498,93.0540333283378,105.395105931055
"factor_midas","Expenditures","2018-06",0.118210341706877,0.0926025629519685,100.060123511221,88.7124805291377
"factor_midas","Expenditures","2018-07",0.124801114775113,0.088743171036483,99.5265581262724,88.2927075082467
"factor_midas","Expenditures","2018-08",0.480263981123575,0.444448482339694,93.4441672668129,104.179147311335
"factor_midas","Expenditures","2018-09",0.144837801243556,0.139945783905009,99.8274804452775,92.784337765603
"factor_midas","Expenditures","2018-10",0.105368538496287,0.0863016913066338,100.390035617601,88.0176209796609
"factor_midas","Expenditures","2018-11",0.397243568009246,0.278128998397396,102.24942645615,99.5569564739348
"factor_midas","Expenditures","2018-12",0.0977488378774432,0.0750826092989309,102.48978190749,86.6444186873016
"factor_midas","Expenditures","2019-01",0.204240062584026,0.194746030794799,98.8269533089166,96.0427169044344
"factor_midas","Expenditures","2019-02",0.111964950642503,0.0973239380552575,100.220853945787,89.2028346459073
"factor_midas","Expenditures","2019-03",0.130943069643637,0.113074185280649,99.8052933088525,90.6819298965708
"factor_midas","Expenditures","2019-04",0.129308696626378,0.120224330361825,99.0087364943851,91.2865412740596
"factor_midas","Expenditures","2019-05",0.0954561355290741,0.0767847297016642,98.9607719030969,86.8654640884081
"factor_midas","Expenditures","2019-06",0.0247136584012351,0.0188968670989394,99.9812169622531,73.0406783772502
"factor_midas","Expenditures","2019-07",0.0947225580832338,0.0937711420946016,100.102750570744,88.8361369256674
"factor_midas","Expenditures","2019-08",0.622305542476495,0.599652235185663,104.165156427209,107.132579781708
"factor_midas","Expenditures","2019-09",0.19415530399232,0.179632449428085,98.4813386177809,95.2461357859762
"factor_midas","Expenditures","2019-10",0.0775535438813338,0.0632936613858306,100.14480303864,84.9601751985132
"factor_midas","Expenditures","2019-11",0.267289494223394,0.192432294352027,101.132311691037,95.9248626069007
"factor_midas","Expenditures","2019-12",0.0661115826103684,0.0605165534037306,100.724542745657,84.5177431857391
"factor_midas","Expenditures","2020-01",0.107256136112338,0.0980805317644808,100.189951466619,89.2791949775673
"factor_midas","Expenditures","2020-02",0.715947061976231,0.550457005239244,100.584917577382,106.288494388802
"factor_midas","Expenditures","2020-03",0.639930157276356,0.559306899028566,108.778363795022,106.445767353488
