"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error","target_date","target_pub_date","surprise_raw","surprise","year_month"
"factor_midas","Germany","Revenues",2013-10-02,6640.20431204848,2,NA,NA,NA,NA,NA,NA,2013-10-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,NA,0,"2013-10"
"factor_midas","Germany","Revenues",2013-10-05,7159.5034156585,2,NA,NA,NA,NA,NA,NA,2013-10-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,519.299103610017,519.299103610017,"2013-10"
"factor_midas","Germany","Revenues",2013-10-15,5452.73281878785,2,NA,NA,NA,NA,NA,NA,2013-10-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,-1706.77059687064,-1706.77059687064,"2013-10"
"factor_midas","Germany","Revenues",2013-10-27,4275.57494271794,2,NA,NA,NA,NA,NA,NA,2013-10-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,-1177.15787606991,-1177.15787606991,"2013-10"
"factor_midas","Germany","Revenues",2013-10-31,4306.63619601564,2,NA,NA,NA,NA,NA,NA,2013-10-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,31.0612532976957,31.0612532976957,"2013-10"
"factor_midas","Germany","Revenues",2013-11-01,4231.74772100482,2,NA,NA,NA,NA,NA,NA,2013-11-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,-74.8884750108218,-74.8884750108218,"2013-11"
"factor_midas","Germany","Revenues",2013-11-05,4596.60989568111,2,NA,NA,NA,NA,NA,NA,2013-11-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,364.862174676293,364.862174676293,"2013-11"
"factor_midas","Germany","Revenues",2013-11-15,6785.47181815537,2,NA,NA,NA,NA,NA,NA,2013-11-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,2188.86192247427,2188.86192247427,"2013-11"
"factor_midas","Germany","Revenues",2013-11-27,8753.88671501003,2,NA,NA,NA,NA,NA,NA,2013-11-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,1968.41489685465,1968.41489685465,"2013-11"
"factor_midas","Germany","Revenues",2013-11-28,9056.98274872444,2,NA,NA,NA,NA,NA,NA,2013-11-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,303.096033714417,303.096033714417,"2013-11"
"factor_midas","Germany","Revenues",2013-12-05,10131.9949208412,2,NA,NA,NA,NA,NA,NA,2013-12-01,-1109,"Total revenues accrual",NA,"OK",NA,2013-10-01,2013-12-15,1075.01217211671,1075.01217211671,"2013-12"
