Sample;Metric;Country;Block;factor_midas;sg_lasso;ar1;rw;;Sample;all_vintages;;;;;;;;;
all_vintages;R2;France;Revenues;-0,7204;-0,8415;-0,9555;-1,7487;;Expenditures;8062,3367;8060,8606;7626,626;10713,1653;;;;;;
last_before_release;R2;France;Revenues;0,4248;-0,7091;-0,9329;-1,6808;;Revenues;7261,799;6816,8836;4804,8785;5930,4004;;;;;;
all_vintages;R2;France;Expenditures;-0,1874;-0,1437;-0,4354;-1,4727;;Spain;8104,4155;7384,4927;5137,69395;7442,09675;;;;;;
last_before_release;R2;France;Expenditures;-0,4833;0,1292;-0,4634;-1,503;;Expenditures;11717,3678;9376,5392;5853,5138;8247,9281;;;;;;
all_vintages;R2;Italy;Revenues;-2,0104;-1,5267;-0,2553;-0,9123;;Revenues;4491,4632;5392,4462;4421,8741;6636,2654;;;;;;
last_before_release;R2;Italy;Revenues;-1,2292;-1,4919;-0,2511;-0,9092;;Total général;4477,034704;4099,345008;3614,763525;4903,828388;;;;;;
all_vintages;R2;Italy;Expenditures;-0,4071;-0,4066;-0,2591;-1,4845;;;;;;;;;;;;
last_before_release;R2;Italy;Expenditures;-0,4383;-0,4777;-0,265;-1,502;;;;;;;;;;;;
all_vintages;R2;Spain;Revenues;-0,1991;-0,7304;-0,1636;-1,6208;;;;;;;;;;;;
last_before_release;R2;Spain;Revenues;0,1067;-0,2175;-0,1462;-1,5792;;;;;;;;;;;;
all_vintages;R2;Spain;Expenditures;-5,0295;-2,861;-0,5047;-1,9875;;;;;;;;;;;;
last_before_release;R2;Spain;Expenditures;-4,5406;-2,6808;-0,4756;-1,9654;;;;;;;;;;;;
