"Model","Country","Block","Status","Message","Nb_obs","Timestamp"
"factor_midas","Germany","Revenues","SUCCESS","Estimation completed",189,"21:10:06"
"factor_midas","Germany","Expenditures","SUCCESS","Estimation completed",189,"21:24:56"
"factor_midas","France","Revenues","SUCCESS","Estimation completed",189,"21:31:55"
"factor_midas","France","Expenditures","SUCCESS","Estimation completed",189,"21:44:55"
"factor_midas","Italy","Revenues","SUCCESS","Estimation completed",189,"21:51:53"
"factor_midas","Italy","Expenditures","SUCCESS","Estimation completed",189,"22:05:06"
"factor_midas","Spain","Revenues","SUCCESS","Estimation completed",189,"22:12:02"
"factor_midas","Spain","Expenditures","SUCCESS","Estimation completed",190,"22:26:54"
"sg_lasso","Germany","Revenues","SUCCESS","Estimation completed",189,"22:38:25"
"sg_lasso","Germany","Expenditures","SUCCESS","Estimation completed",189,"23:00:39"
"sg_lasso","France","Revenues","SUCCESS","Estimation completed",189,"23:13:07"
"sg_lasso","France","Expenditures","SUCCESS","Estimation completed",189,"23:36:06"
"sg_lasso","Italy","Revenues","SUCCESS","Estimation completed",189,"23:45:05"
"sg_lasso","Italy","Expenditures","SUCCESS","Estimation completed",189,"00:06:49"
"sg_lasso","Spain","Revenues","SUCCESS","Estimation completed",189,"00:22:15"
"sg_lasso","Spain","Expenditures","SUCCESS","Estimation completed",190,"00:50:34"
"ar1","Germany","Revenues","SUCCESS","Estimation completed",189,"01:01:55"
"ar1","Germany","Expenditures","SUCCESS","Estimation completed",189,"01:16:26"
"ar1","France","Revenues","SUCCESS","Estimation completed",189,"01:23:32"
"ar1","France","Expenditures","SUCCESS","Estimation completed",189,"01:37:57"
"ar1","Italy","Revenues","SUCCESS","Estimation completed",189,"01:46:16"
"ar1","Italy","Expenditures","SUCCESS","Estimation completed",189,"02:02:08"
"ar1","Spain","Revenues","SUCCESS","Estimation completed",189,"02:10:44"
"ar1","Spain","Expenditures","SUCCESS","Estimation completed",190,"02:26:39"
"rw","Germany","Revenues","SUCCESS","Estimation completed",189,"02:35:32"
"rw","Germany","Expenditures","SUCCESS","Estimation completed",189,"02:52:06"
"rw","France","Revenues","SUCCESS","Estimation completed",189,"03:01:36"
"rw","France","Expenditures","SUCCESS","Estimation completed",189,"03:18:43"
"rw","Italy","Revenues","SUCCESS","Estimation completed",189,"03:28:10"
"rw","Italy","Expenditures","SUCCESS","Estimation completed",189,"03:45:04"
"rw","Spain","Revenues","SUCCESS","Estimation completed",189,"03:54:03"
"rw","Spain","Expenditures","SUCCESS","Estimation completed",190,"04:11:03"
