"model","block","year_month","cross_sec_sd","fragmentation_index"
"factor_midas","Expenditures","2013-01",4.28536556234082,124.391451211721
"factor_midas","Expenditures","2013-02",2.89411785428365,120.590944584195
"factor_midas","Expenditures","2013-03",0.773642858026061,107.816986268303
"factor_midas","Expenditures","2013-04",1.20324351486451,112.093278292733
"factor_midas","Expenditures","2013-05",2.05130043390797,117.258272753368
"factor_midas","Expenditures","2013-06",0.761975031615711,107.669850331759
"factor_midas","Expenditures","2013-07",0.0987980369484241,87.8907231928778
"factor_midas","Expenditures","2013-08",0.596713329724525,105.302777769737
"factor_midas","Expenditures","2013-09",0.120002186589514,89.7732530043483
"factor_midas","Expenditures","2013-10",0.338624657050986,99.817385934426
"factor_midas","Expenditures","2013-11",1.79417524974546,115.961551503446
"factor_midas","Expenditures","2013-12",0.108993502247414,88.8416162441378
"factor_midas","Expenditures","2014-01",0.178186137435409,93.6008043725788
"factor_midas","Expenditures","2014-02",2.03351723326045,117.173969642563
"factor_midas","Expenditures","2014-03",0.289045232727084,98.2846071509228
"factor_midas","Expenditures","2014-04",0.681946316349098,106.595486930997
"factor_midas","Expenditures","2014-05",0.387513159785339,101.123102101098
"factor_midas","Expenditures","2014-06",0.52538977387814,104.070269819592
"factor_midas","Expenditures","2014-07",0.344548713277301,99.9853060528746
"factor_midas","Expenditures","2014-08",0.803465329382421,108.183202441124
"factor_midas","Expenditures","2014-09",0.13769836643905,91.105092271619
"factor_midas","Expenditures","2014-10",0.811942873706215,108.284826228427
"factor_midas","Expenditures","2014-11",1.01638563787718,110.459234446817
"factor_midas","Expenditures","2014-12",0.753738157851955,107.564617014817
"factor_midas","Expenditures","2015-01",0.639732269912542,105.976783562691
"factor_midas","Expenditures","2015-02",1.38045214813981,113.423516816091
"factor_midas","Expenditures","2015-03",0.126625033755377,90.2933828253555
"factor_midas","Expenditures","2015-04",0.524483557492989,104.053555114514
"factor_midas","Expenditures","2015-05",1.08903243312052,111.127661718007
"factor_midas","Expenditures","2015-06",0.623610005007477,105.729649729462
"factor_midas","Expenditures","2015-07",0.532793012656304,104.205748748427
