"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",0,"Low fragmentation (-1 sd)",1.88444397750124,0.640554988805811,0.628956199441849,3.13993175556063,1.24388898869543,2.52499896630705
"GDP-weighted country aggregates",1,"Low fragmentation (-1 sd)",6.24504046934517,2.28938998550728,1.7578360977509,10.7322448409395,3.95565048383789,8.53443045485246
"GDP-weighted country aggregates",2,"Low fragmentation (-1 sd)",1.41597309287334,1.401896766711,-1.33174456988021,4.16369075562689,0.014076326162344,2.81786985958434
"GDP-weighted country aggregates",3,"Low fragmentation (-1 sd)",1.95591431259253,0.810281341435185,0.367762883379569,3.54406574180549,1.14563297115735,2.76619565402772
"GDP-weighted country aggregates",4,"Low fragmentation (-1 sd)",1.7989056998255,1.0630201161007,-0.284613727731872,3.88242512738286,0.735885583724798,2.86192581592619
"GDP-weighted country aggregates",5,"Low fragmentation (-1 sd)",2.42366482771831,0.840629874224258,0.776030274238762,4.07129938119785,1.58303495349405,3.26429470194256
"GDP-weighted country aggregates",6,"Low fragmentation (-1 sd)",2.00862736891283,0.937464924365874,0.171196117155721,3.84605862066995,1.07116244454696,2.94609229327871
"GDP-weighted country aggregates",7,"Low fragmentation (-1 sd)",5.05833556483286,2.27638974045869,0.596611673533839,9.52005945613189,2.78194582437418,7.33472530529155
"GDP-weighted country aggregates",8,"Low fragmentation (-1 sd)",7.9389927400484,5.33486939895758,-2.51735128190846,18.3953367620052,2.60412334109082,13.273862139006
"GDP-weighted country aggregates",9,"Low fragmentation (-1 sd)",-3.95891397437351,5.46348472101031,-14.6673440275537,6.7495160788067,-9.42239869538383,1.5045707466368
"GDP-weighted country aggregates",10,"Low fragmentation (-1 sd)",-0.54441853255845,1.990437979392,-4.44567697216677,3.35683990704987,-2.53485651195045,1.44601944683355
"GDP-weighted country aggregates",11,"Low fragmentation (-1 sd)",1.08217668904025,1.31808364160554,-1.50126724850662,3.66562062658712,-0.235906952565297,2.40026033064579
